rank,skill,count_skill,year
1,iOS,802,2015
2,Objective-C,609,2015
3,C++,192,2015
4,Git,190,2015
5,Android,179,2015
6,SQLite,151,2015
7,swift,108,2015
8,ООП,104,2015
9,Разработка iOS Android,101,2015
10,"Программирование iOS, Android",101,2015
1,iOS,1289,2016
2,Objective-C,1072,2016
3,Git,496,2016
4,Swift,349,2016
5,ООП,344,2016
6,Android,262,2016
7,Xcode,240,2016
8,Java,182,2016
9,C++,124,2016
10,Mac Os,115,2016
1,iOS,1416,2017
2,Objective-C,1189,2017
3,Swift,604,2017
4,Git,530,2017
5,ООП,355,2017
6,Xcode,325,2017
7,Android,191,2017
8,Mac Os,164,2017
9,Java,136,2017
10,REST,129,2017
1,iOS,1853,2018
2,Objective-C,1373,2018
3,Swift,1053,2018
4,Git,714,2018
5,ООП,373,2018
6,Xcode,282,2018
7,Android,241,2018
8,Mac Os,186,2018
9,Java,180,2018
10,SWIFT Alliance,167,2018
1,iOS,2647,2019
2,Objective-C,1796,2019
3,Swift,1604,2019
4,Git,928,2019
5,ООП,543,2019
6,Xcode,311,2019
7,Android,254,2019
8,Mac Os,241,2019
9,Java,191,2019
10,REST,181,2019
1,iOS,3194,2020
2,Objective-C,1910,2020
3,Swift,1847,2020
4,Git,1360,2020
5,ООП,788,2020
6,Mac Os,550,2020
7,Английский язык,369,2020
8,Android,340,2020
9,MVC,252,2020
10,Java,225,2020
1,iOS,1918,2021
2,Swift,1292,2021
3,Objective-C,895,2021
4,Git,820,2021
5,ООП,511,2021
6,Английский язык,300,2021
7,Mac Os,286,2021
8,Xcode,225,2021
9,Android,179,2021
10,MVC,172,2021
